"","Age","Employment","Education","Marital","Occupation","Income","Gender","Deductions","Hours","RISK_Adjustment","TARGET_Adjusted"
"2584205",39,"Private","HSgrad","Absent","Blue_Collar",85565.16,"Female",0,10,0,0
"2586533",40,"Private","College","Divorced","Service",128629.84,"Male",0,45,0,0
"2597744",26,"Private","Pre_HS","Absent","Service",199628.02,"Male",0,40,0,0
"2601767",27,"Private","College","Married","Blue_Collar",27932.75,"Male",0,60,0,0
"2610672",53,"SelfEmp_Other","Pre_HS","Widowed","Other_Unknown",82391.47,"Female",0,30,0,0
"2611065",41,"Government","HSgrad","Divorced","Service",108760.33,"Female",0,38,0,0
"2613647",29,"Private","Bachelor","Married","Blue_Collar",30838.37,"Male",0,45,0,0
"2623338",35,"SelfEmp_Other","College","Divorced","Other_Unknown",84371.66,"Female",0,36,0,0
"2628569",32,"Private","Pre_HS","Absent","Blue_Collar",229452.89,"Male",0,40,0,0
"2628576",60,"Government","Bachelor","Married","Professional",25719.5,"Male",0,38,4154,1
"2633964",38,"Private","HSgrad","Married","Service",11525.85,"Male",0,40,0,0
"2638182",25,"Government","Bachelor","Absent","Professional",104146.06,"Male",0,40,0,0
"2652430",41,"Consultant","College","Divorced","Blue_Collar",126239.52,"Male",0,40,0,0
"2652767",26,"Private","Bachelor","Married","Professional",13790.85,"Male",0,58,10210,1
"2665367",23,"Private","College","Absent","Professional",33182.37,"Female",0,36,0,0
"2679815",24,"Private","HSgrad","Absent","Blue_Collar",73809.11,"Male",0,40,0,0
"2684076",33,"Government","Bachelor","Absent","Professional",49859.42,"Female",0,46,0,0
"2686697",27,"Private","HSgrad","Married","White_Collar",25889.7,"Male",0,39,0,0
"2689411",36,"Private","Bachelor","Absent","Professional",96900.94,"Female",0,40,0,0
"2689854",50,"SelfEmp_Other","Bachelor","Married","Service",22536.37,"Male",0,40,5699,1
"2693858",29,"Private","HSgrad","Married","Blue_Collar",53693.92,"Male",0,45,0,0
"2694328",45,"Government","HSgrad","Divorced","Service",161281.24,"Female",0,40,0,0
"2696752",47,"Government","HSgrad","Absent","White_Collar",38932.19,"Female",0,40,0,0
"2698881",41,"Government","Bachelor","Divorced","Professional",189299.57,"Female",0,60,0,0
"2700450",31,"Private","Bachelor","Divorced","White_Collar",100095.95,"Female",0,50,1440,1
"2701455",39,"Private","Pre_HS","Married","Service",136378.92,"Female",0,34,0,0
"2714780",66,"Consultant","Pre_HS","Married","Blue_Collar",25973.47,"Male",0,25,5531,1
"2718332",39,"Private","College","Married","White_Collar",15275.18,"Male",0,25,0,0
"2727224",44,"Private","Bachelor","Married","White_Collar",53626.14,"Male",0,40,4145,1
"2735082",22,"Private","College","Absent","Service",249741.88,"Female",0,15,0,0
"2744996",43,"Government","Bachelor","Married","Professional",21737.96,"Male",0,40,0,0
"2755909",21,"SelfEmp_Other","College","Absent","Other_Unknown",119656.67,"Male",0,48,0,0
"2758873",34,"Private","HSgrad","Absent","Blue_Collar",59338.83,"Male",0,40,0,0
"2764229",22,"Private","HSgrad","Married","Service",35751.45,"Male",0,40,0,0
"2765799",22,"Private","Bachelor","Absent","Professional",41992.73,"Female",0,9,0,0
"2765855",41,"Private","HSgrad","Married","Service",46673.22,"Male",0,50,0,0
"2766274",32,"Private","College","Divorced","Blue_Collar",176806.47,"Female",0,40,0,0
"2768759",24,"Private","HSgrad","Absent","Blue_Collar",101594.16,"Male",0,40,0,0
"2773758",45,"Private","HSgrad","Married","Blue_Collar",39403.87,"Male",0,40,0,0
"2777759",56,"Private","HSgrad","Married","Blue_Collar",35545.48,"Male",0,40,0,0
"2787203",53,"Consultant","HSgrad","Married","Blue_Collar",32036.42,"Male",0,85,0,0
"2792504",27,"Consultant","HSgrad","Absent","Blue_Collar",72408.32,"Male",0,30,0,0
"2794283",32,"Private","College","Absent","Service",85652.5,"Male",0,45,0,0
"2798007",31,"Consultant","Bachelor","Divorced","Blue_Collar",122380.38,"Male",0,60,0,0
"2805784",39,"Private","HSgrad","Married","Blue_Collar",35689.37,"Male",0,40,7298,1
"2842832",54,"Private","Pre_HS","Married","Service",60708.32,"Male",0,40,0,0
"2848462",32,"Private","HSgrad","Divorced","White_Collar",115759.45,"Female",0,40,0,0
"2858446",51,"Consultant","Pre_HS","Widowed","Service",38448.49,"Female",0,40,0,0
"2861412",50,"Private","HSgrad","Married","Blue_Collar",245512.73,"Female",0,40,0,0
"2876748",29,"Private","HSgrad","Married","Service",16596.93,"Male",0,40,0,0
"2882883",41,"Private","Bachelor","Absent","Professional",76867.5,"Male",0,40,3156,1
"2884161",31,"Private","HSgrad","Absent","Blue_Collar",266708.54,"Male",0,45,0,0
"2889800",34,"Private","HSgrad","Absent","Blue_Collar",65181.4,"Male",0,55,0,0
"2894143",30,"Private","HSgrad","Married","Service",50564.31,"Male",0,40,0,0
"2899030",26,"Private","Pre_HS","Absent","Blue_Collar",198605.08,"Female",0,15,0,0
"2917228",64,"Private","HSgrad","Married","White_Collar",29018.13,"Male",0,16,0,0
"2926326",46,"Private","Bachelor","Absent","Professional",104411.29,"Male",0,60,0,0
"2928328",27,"Private","Bachelor","Married","White_Collar",29372.19,"Male",0,40,0,0
"2933720",37,"Private","Bachelor","Married","Blue_Collar",16834.5,"Male",0,40,5124,1
"2935621",34,"Private","College","Unmarried","Blue_Collar",69650.32,"Male",0,40,0,0
"2935747",50,"Government","Bachelor","Divorced","Professional",54815.01,"Female",0,30,0,0
"2946407",45,"Private","Pre_HS","Married","White_Collar",273024.98,"Female",0,40,3103,1
"2946966",39,"SelfEmp_Other","HSgrad","Married","Other_Unknown",24090.81,"Male",0,40,0,0
"2948009",46,"Private","HSgrad","Divorced","Other_Unknown",87517.4,"Female",0,25,0,0
"2953581",45,"Consultant","HSgrad","Married","White_Collar",45021.81,"Male",0,40,0,0
"2961216",33,"Government","College","Absent","Service",83998.37,"Male",0,56,0,0
"2962167",27,"Private","College","Absent","Service",119648.25,"Male",0,40,0,0
"2967442",26,"Private","Bachelor","Absent","White_Collar",302473.86,"Female",0,40,0,0
"2970530",22,"Private","HSgrad","Absent","Service",151717.77,"Female",0,19,0,0
"2982830",45,"Government","HSgrad","Unmarried","Service",191903.12,"Female",0,40,0,0
"2983570",29,"Private","College","Married","Blue_Collar",37179.24,"Male",0,50,0,0
"2986567",23,"Private","HSgrad","Absent","White_Collar",190071.74,"Male",0,40,0,0
"2994003",17,"Private","Pre_HS","Absent","Blue_Collar",109648.83,"Male",0,17,0,0
"2994154",47,"Private","College","Married","Blue_Collar",43274.45,"Male",0,40,3103,1
"2998044",28,"Private","Pre_HS","Married","Blue_Collar",107861.57,"Male",0,60,7716,1
"3000511",61,"Private","HSgrad","Married","White_Collar",163175.67,"Female",0,38,15024,1
"3003868",31,"Private","HSgrad","Divorced","Service",105269.72,"Male",0,45,0,0
"3015932",20,"SelfEmp_Other","College","Absent","Other_Unknown",156892.82,"Male",0,36,0,0
"3025458",74,"SelfEmp_Other","HSgrad","Widowed","Other_Unknown",43529.53,"Female",0,10,0,0
"3038204",54,"Government","Bachelor","Married","Professional",51958.85,"Female",0,40,0,0
"3042526",42,"Private","College","Married","Service",58980.99,"Male",0,40,1590,1
"3042979",28,"Private","Bachelor","Absent","White_Collar",73107.98,"Male",0,18,0,0
"3048381",21,"Private","College","Absent","Blue_Collar",243764.23,"Male",0,40,0,0
"3055651",33,"Private","Bachelor","Married","Blue_Collar",48116.66,"Male",0,40,0,0
"3062848",31,"Private","Pre_HS","Divorced","Service",100775.05,"Male",0,40,0,0
"3063306",22,"Private","College","Absent","Blue_Collar",91874.24,"Male",2824,40,2436,1
"3065252",52,"Private","College","Unmarried","Service",240485.92,"Female",0,35,0,0
"3069841",37,"Private","Bachelor","Married","Professional",24992.3,"Male",0,45,5011,1
"3073599",65,"Private","Bachelor","Absent","White_Collar",26076.22,"Male",0,40,0,0
"3075529",28,"Private","Bachelor","Absent","Professional",9541.93,"Female",0,40,0,0
"3076714",30,"Private","HSgrad","Widowed","White_Collar",140930.86,"Female",0,40,0,0
"3082739",47,"Private","Pre_HS","Divorced","Service",107450.83,"Female",0,40,0,0
"3100638",34,"Private","College","Divorced","Service",87586.93,"Female",0,40,0,0
"3101612",57,"Government","Bachelor","Married","Service",21467.02,"Male",0,14,8535,1
"3104234",57,"Private","Pre_HS","Married","Service",54815.51,"Male",0,40,0,0
"3105282",53,"Private","HSgrad","Divorced","Service",63446.23,"Female",0,35,0,0
"3110509",46,"Government","College","Divorced","White_Collar",288055.96,"Female",0,38,0,0
"3118935",51,"Private","HSgrad","Divorced","Professional",47116.54,"Female",0,43,0,0
"3122222",40,"Government","HSgrad","Absent","Service",148301.11,"Male",0,40,0,0
"3122646",55,"Private","College","Married","Blue_Collar",24720.46,"Male",0,40,0,0
"3124391",50,"SelfEmp_Other","HSgrad","Married","Blue_Collar",4930.3,"Male",0,50,0,0
"3129223",42,"Private","College","Married","Service",195744.31,"Female",0,23,0,0
"3130873",42,"Government","HSgrad","Married","Blue_Collar",43027.27,"Male",0,40,0,0
"3132820",31,"Private","Bachelor","Married","Professional",39068.04,"Male",0,40,0,0
"3137083",25,"Private","Pre_HS","Married","Blue_Collar",174325.46,"Male",0,40,0,0
"3138731",34,"Private","College","Married","Blue_Collar",30033.75,"Male",0,40,0,0
"3168041",25,"SelfEmp_Other","College","Absent","Service",67669.6,"Female",0,35,0,0
"3168121",65,"Consultant","HSgrad","Married","White_Collar",50845.62,"Male",0,24,0,0
"3170731",47,"Private","Pre_HS","Absent","Service",208195.84,"Female",0,50,0,0
"3172159",29,"Consultant","HSgrad","Married","Service",32418.68,"Male",0,45,0,0
"3173088",41,"Government","Bachelor","Married","Professional",2584.53,"Male",0,40,0,0
"3177459",49,"SelfEmp_Other","HSgrad","Divorced","White_Collar",32375.78,"Female",0,40,0,0
"3182225",22,"Private","HSgrad","Absent","Service",79019.51,"Male",0,60,0,0
"3182899",42,"Private","Bachelor","Married","White_Collar",46796.14,"Male",0,40,0,1
"3187251",36,"Private","Bachelor","Married","Professional",14220.59,"Male",0,55,7298,1
"3187630",36,"Private","College","Married","Professional",68166.53,"Male",0,40,6674,1
"3193027",62,"Consultant","Bachelor","Divorced","Professional",63454.72,"Female",0,40,13601,1
"3199551",44,"SelfEmp_Other","Pre_HS","Unmarried","Other_Unknown",81371.85,"Female",0,36,0,0
"3208046",24,"Private","Bachelor","Absent","Blue_Collar",47378.48,"Male",0,40,0,0
"3209777",46,"Government","Pre_HS","Married","Service",18752.31,"Male",0,30,0,0
"3218180",46,"Private","Bachelor","Married","White_Collar",23064.1,"Male",2415,35,0,1
"3229647",52,"Private","Pre_HS","Married","Service",43220.42,"Male",0,45,0,0
"3238626",27,"Private","HSgrad","Married","Blue_Collar",12631.84,"Male",0,40,0,0
"3245360",40,"Private","College","Divorced","Professional",242928.15,"Male",0,40,0,0
"3247777",43,"Consultant","HSgrad","Married","Blue_Collar",19833.16,"Male",0,60,0,0
"3254289",41,"SelfEmp_Other","Bachelor","Divorced","White_Collar",79424.23,"Male",0,50,0,0
"3258067",43,"Private","Bachelor","Divorced","White_Collar",138108.83,"Female",0,45,3705,1
"3260059",63,"SelfEmp_Other","College","Married","Service",19430.35,"Male",0,40,5112,1
"3260881",38,"Private","HSgrad","Divorced","Blue_Collar",40362.23,"Male",0,50,0,0
"3261701",57,"Private","Pre_HS","Married","Blue_Collar",12951.57,"Male",0,40,0,0
"3262872",19,"Private","HSgrad","Absent","Blue_Collar",335039.49,"Male",0,30,0,0
"3264686",25,"Private","College","Married","White_Collar",30693.55,"Male",0,45,0,0
"3268229",31,"Private","HSgrad","Married","Blue_Collar",21015.93,"Male",0,55,0,0
"3274547",40,"Private","College","Absent","White_Collar",82953.38,"Female",0,40,0,0
"3281036",31,"Private","HSgrad","Absent","Service",174501.6,"Male",0,35,0,0
"3281334",46,"Private","HSgrad","Married","Blue_Collar",34962.4,"Male",0,40,0,0
"3284840",27,"Private","Bachelor","Married","Professional",34754.32,"Male",0,42,0,1
"3286063",31,"Private","Bachelor","Married","Professional",39564.87,"Male",0,40,5178,1
"3286778",17,"Private","Pre_HS","Absent","Service",134913.32,"Female",0,15,0,0
"3286874",58,"Government","HSgrad","Married","White_Collar",33730.79,"Male",0,40,7298,1
"3290630",34,"Private","Bachelor","Married","White_Collar",52706.14,"Male",0,40,4267,1
"3293552",40,"Private","College","Unmarried","Blue_Collar",48091.99,"Male",0,40,0,0
"3295173",34,"Private","HSgrad","Absent","Blue_Collar",141339.71,"Male",0,40,0,0
"3303742",47,"Private","HSgrad","Absent","White_Collar",16724.7,"Male",0,33,0,0
"3303894",26,"Private","College","Absent","Service",195172.56,"Male",0,30,0,0
"3306149",48,"Private","HSgrad","Married","Blue_Collar",24127.47,"Male",0,40,0,0
"3318958",39,"Private","College","Absent","Service",217537.77,"Female",0,40,0,0
"3320224",56,"SelfEmp_Other","Pre_HS","Married","Service",50564.64,"Male",0,99,0,0
"3328158",33,"Consultant","Bachelor","Absent","Service",69232.77,"Female",0,40,0,0
"3329759",35,"Consultant","HSgrad","Married","White_Collar",55981.64,"Male",0,60,0,0
"3331706",33,"Government","Bachelor","Married","Service",36228.26,"Male",0,70,0,1
"3334605",35,"Private","Bachelor","Married","White_Collar",56791.05,"Male",0,47,4386,1
"3337130",33,"Private","College","Absent","Service",71402.76,"Female",0,28,0,0
"3337202",56,"Private","Bachelor","Married","Service",42603.57,"Male",0,40,10477,1
"3343487",45,"Consultant","Bachelor","Divorced","White_Collar",107961.84,"Male",0,50,0,0
"3344699",66,"Private","Bachelor","Married","Service",33987.22,"Male",0,15,0,1
"3348657",46,"Government","HSgrad","Married","Service",48807.28,"Male",0,43,2023,1
"3350187",23,"Private","College","Absent","Service",92970.53,"Male",0,30,0,0
"3350526",40,"Private","College","Divorced","White_Collar",112480.86,"Male",0,40,8354,1
"3365008",21,"Private","HSgrad","Absent","Service",184072.28,"Female",0,40,0,0
"3365455",46,"Private","HSgrad","Divorced","White_Collar",56889.59,"Female",0,40,0,0
"3375669",37,"Private","HSgrad","Absent","White_Collar",19157.04,"Male",0,38,0,0
"3377279",58,"SelfEmp_Other","College","Married","White_Collar",36607.19,"Male",0,40,15024,1
"3379095",43,"Private","HSgrad","Divorced","White_Collar",66707.56,"Female",0,40,0,0
"3379122",28,"Private","Bachelor","Married","White_Collar",81967.31,"Female",0,15,0,0
"3381305",40,"Private","HSgrad","Absent","White_Collar",116076.42,"Female",0,45,0,0
"3386761",67,"SelfEmp_Other","HSgrad","Married","Other_Unknown",262911.83,"Female",0,5,0,0
"3390698",19,"Private","HSgrad","Absent","Blue_Collar",183653.58,"Male",0,35,0,0
"3392247",68,"Private","Pre_HS","Married","Blue_Collar",40478.75,"Male",0,44,0,0
"3399879",43,"SelfEmp_Other","College","Married","White_Collar",48852.77,"Male",0,40,99999,1
"3406334",31,"Consultant","HSgrad","Married","Blue_Collar",59999.6,"Male",1902,40,19875,1
"3408103",33,"Government","Bachelor","Married","Professional",28571.83,"Male",0,50,2307,1
"3410067",50,"Private","HSgrad","Married","Blue_Collar",59745.14,"Male",0,40,8436,1
"3416897",54,"Private","HSgrad","Absent","Service",129388.23,"Female",0,20,0,0
"3420408",57,"Consultant","HSgrad","Married","White_Collar",53313.24,"Male",0,1,0,0
"3428965",18,"Private","Pre_HS","Absent","Service",113834.61,"Female",0,20,0,0
"3433750",34,"Private","College","Married","Service",57302.55,"Male",1452.666667,40,0,0
"3438153",37,"Private","HSgrad","Married","Blue_Collar",26674.21,"Male",0,40,0,0
"3438433",49,"Government","Bachelor","Married","Professional",38082.1,"Male",0,45,0,1
"3465197",41,"Private","HSgrad","Married","Blue_Collar",46992.2,"Male",1848,40,14122,1
"3468884",38,"Private","College","Divorced","Service",94304.23,"Female",0,40,0,0
"3474349",35,"Private","HSgrad","Married","White_Collar",22528.23,"Male",0,45,0,0
"3484201",35,"Private","HSgrad","Married","Blue_Collar",42134.13,"Male",0,40,0,0
"3499406",41,"Private","HSgrad","Absent","Service",176293.81,"Female",0,40,0,0
"3504059",56,"Private","Bachelor","Married","Blue_Collar",17996.83,"Male",0,40,0,0
"3504293",30,"Private","College","Absent","Service",122219.74,"Female",0,40,0,0
"3506810",19,"Private","College","Absent","Blue_Collar",222208.64,"Male",0,40,0,0
"3507780",32,"Private","Bachelor","Married","Service",66145.39,"Male",0,50,15024,1
"3508315",37,"Private","HSgrad","Married","Service",38208.31,"Male",0,50,0,0
"3513078",44,"SelfEmp_Other","College","Married","Blue_Collar",30138.02,"Male",0,58,12194,1
"3515442",44,"Government","Bachelor","Married","White_Collar",48292.14,"Male",0,48,0,0
"3525618",26,"Private","Bachelor","Absent","Service",67468.36,"Male",0,30,0,0
"3536933",40,"Private","Pre_HS","Divorced","Service",136995.17,"Female",0,20,0,0
"3537551",41,"SelfEmp_Other","HSgrad","Married","Blue_Collar",7933.4,"Male",0,40,0,0
"3543518",30,"Private","HSgrad","Married","Blue_Collar",42654.08,"Male",0,40,0,0
"3547190",24,"Government","Bachelor","Absent","Professional",60796.94,"Male",1160.666667,45,0,0
"3551522",25,"Private","College","Absent","Service",59720.41,"Male",0,30,0,0
"3551532",25,"Private","Bachelor","Absent","White_Collar",36729.36,"Female",0,40,0,0
"3554427",24,"Private","College","Divorced","White_Collar",117086.88,"Female",0,40,0,0
"3557118",42,"Private","College","Married","Service",33975.92,"Male",0,50,3435,1
"3566985",18,"Private","HSgrad","Absent","Service",109846.82,"Female",1068,20,0,0
"3570983",32,"Consultant","HSgrad","Married","Service",89398.02,"Female",0,5,0,0
"3581514",34,"Private","HSgrad","Divorced","White_Collar",147538.87,"Female",0,35,0,0
"3589428",24,"Private","Bachelor","Married","White_Collar",166052.52,"Female",0,45,7688,1
"3593313",39,"Private","College","Divorced","Professional",70847.77,"Male",0,70,7742,1
"3598597",32,"Private","College","Divorced","Professional",91745.36,"Female",0,30,0,0
"3605760",27,"Private","College","Absent","White_Collar",44527.23,"Female",0,40,0,0
"3609988",25,"Private","College","Married","White_Collar",177114.9,"Female",0,56,17568,1
"3611698",17,"Private","Pre_HS","Absent","Other_Unknown",115060.52,"Female",0,20,0,0
"3613313",43,"Private","HSgrad","Widowed","Blue_Collar",51288.14,"Female",0,60,0,0
"3630600",59,"Private","College","Absent","White_Collar",154292.88,"Female",0,34,0,0
"3634964",23,"Private","College","Absent","Service",88744.88,"Male",0,40,0,0
"3643955",48,"SelfEmp_Other","College","Married","Other_Unknown",27415.4,"Male",0,40,7217,1
"3647630",46,"Government","Bachelor","Absent","Professional",62609.31,"Female",0,40,0,0
"3650188",45,"Private","Bachelor","Married","White_Collar",40475.97,"Male",0,50,18513,1
"3656868",35,"Consultant","College","Married","Professional",24147.69,"Male",0,50,8436,1
"3663663",38,"Private","College","Married","Blue_Collar",7147.78,"Male",0,40,0,0
"3665288",25,"Private","Bachelor","Absent","Service",189962.59,"Male",0,40,0,0
"3665576",55,"Private","Bachelor","Married","Blue_Collar",164211.16,"Female",0,55,0,0
"3666173",22,"Private","College","Absent","Blue_Collar",110504.79,"Male",0,24,0,0
"3673140",44,"Private","HSgrad","Married","Service",33651.43,"Male",0,45,0,0
"3673630",62,"Government","HSgrad","Married","Service",40079.48,"Male",0,40,77901,1
"3677227",27,"SelfEmp_Other","Bachelor","Absent","White_Collar",229417.24,"Female",0,40,0,0
"3683760",35,"Private","HSgrad","Married","Blue_Collar",314194.62,"Female",0,40,0,0
"3690282",59,"Government","Pre_HS","Married","Blue_Collar",25218.36,"Male",0,40,0,0
"3690485",30,"Private","College","Divorced","Professional",217277.34,"Female",0,40,0,0
"3692149",39,"Private","HSgrad","Absent","Service",197192.92,"Female",0,40,0,0
"3707909",59,"Government","Bachelor","Married","Professional",11008.39,"Male",0,50,-402,1
"3711802",18,"Private","Pre_HS","Absent","Blue_Collar",33332.11,"Male",0,5,0,0
"3715441",22,"Private","College","Absent","Service",106734.77,"Female",0,36,0,0
"3716445",51,"Private","Bachelor","Unmarried","White_Collar",162093.26,"Female",0,40,0,0
"3718723",66,"Private","HSgrad","Widowed","Service",96057.04,"Female",0,40,5072,1
"3728183",49,"Government","Bachelor","Divorced","Professional",217874.98,"Female",0,40,7430,1
"3729397",32,"Private","Bachelor","Absent","Service",66932.76,"Male",0,40,0,0
"3732203",34,"Private","College","Divorced","White_Collar",299877.32,"Female",0,30,0,0
"3732616",33,"Private","Pre_HS","Married","Blue_Collar",48288.7,"Male",0,40,0,0
"3737260",73,"Government","Pre_HS","Married","Service",48618.95,"Male",0,20,0,0
"3737931",34,"Private","Bachelor","Married","White_Collar",45718.23,"Male",0,40,8614,1
"3738306",41,"Private","HSgrad","Married","Blue_Collar",49161.35,"Male",0,40,0,0
"3739921",50,"Government","Bachelor","Married","Service",41471.41,"Male",0,44,6286,1
"3745285",35,"Private","College","Absent","Service",27632.54,"Female",0,65,0,0
"3749148",31,"Private","College","Absent","Service",81517.56,"Female",0,40,0,0
"3756876",66,"SelfEmp_Other","College","Married","Other_Unknown",58054.74,"Male",0,40,0,0
"3760426",55,"Private","Bachelor","Married","Professional",53577.25,"Male",0,40,962,1
"3760730",33,"Private","HSgrad","Divorced","White_Collar",61991.92,"Female",0,65,0,0
"3760876",40,"Government","HSgrad","Married","White_Collar",19944.35,"Male",0,40,14491,1
"3768487",50,"SelfEmp_Other","College","Married","Blue_Collar",38682.78,"Male",0,70,0,0
"3768899",71,"Private","Bachelor","Absent","White_Collar",96478.26,"Female",0,14,0,0
"3769829",65,"Consultant","Pre_HS","Married","Blue_Collar",47063.94,"Male",0,45,0,0
"3773994",36,"Consultant","HSgrad","Unmarried","Service",96768.75,"Female",0,16,0,0
"3776226",49,"Private","Pre_HS","Married","Blue_Collar",49389.22,"Male",0,40,0,0
"3784512",41,"Private","HSgrad","Married","Blue_Collar",35261.18,"Male",0,40,0,0
"3789693",35,"Private","Bachelor","Married","Service",30242.65,"Male",0,50,0,0
"3797544",51,"Private","College","Married","Blue_Collar",65007.68,"Male",0,50,0,0
"3799735",83,"Private","HSgrad","Widowed","Service",65460.8,"Male",0,55,0,0
"3813044",74,"Consultant","College","Married","Professional",49297.77,"Male",1098.666667,35,0,0
"3814145",66,"Private","HSgrad","Widowed","White_Collar",60987.96,"Female",0,25,0,0
"3815398",58,"SelfEmp_Other","College","Divorced","Service",62300.23,"Male",0,56,0,0
"3816126",46,"Government","Bachelor","Married","Service",68490.06,"Male",0,40,0,1
"3825160",43,"Private","Bachelor","Married","White_Collar",42120.31,"Male",0,45,11296,1
"3828470",41,"Private","HSgrad","Married","White_Collar",32833.32,"Male",0,40,10133,1
"3834978",32,"Private","College","Married","Service",16792.08,"Male",0,60,0,0
"3835253",28,"Private","Bachelor","Married","White_Collar",481259.5,"Female",0,40,6264,1
"3838839",40,"Private","Pre_HS","Unmarried","Blue_Collar",146014.32,"Male",0,36,0,0
"3843522",27,"Private","HSgrad","Absent","White_Collar",46349.41,"Female",0,50,0,0
"3849256",48,"Government","Bachelor","Divorced","White_Collar",51903.79,"Male",0,45,0,0
"3860630",38,"Government","HSgrad","Married","Service",25752.21,"Male",0,40,0,0
"3868402",42,"Government","Bachelor","Absent","White_Collar",20216.99,"Female",0,40,99999,1
"3868667",21,"Private","College","Absent","Service",106813.49,"Male",0,32,0,0
"3878358",25,"Private","Bachelor","Absent","Service",169922,"Female",0,40,0,0
"3879389",47,"Private","HSgrad","Divorced","Service",196408.98,"Female",0,40,0,0
"3879597",46,"Private","Bachelor","Married","White_Collar",46716.6,"Male",0,40,7277,1
"3880157",35,"Private","HSgrad","Divorced","Service",284810.56,"Female",0,40,0,0
"3883555",46,"Private","Bachelor","Divorced","Blue_Collar",121294.18,"Male",1060,40,0,0
"3887128",25,"Private","Pre_HS","Absent","Service",69059.63,"Male",0,50,0,0
"3889233",37,"Government","HSgrad","Married","White_Collar",25092.81,"Male",0,40,0,0
"3891021",20,"Private","College","Absent","Service",128364.91,"Male",0,20,0,0
"3899456",21,"Private","HSgrad","Absent","Blue_Collar",11131.23,"Male",0,40,0,0
"3906193",47,"Private","College","Absent","Service",80477.09,"Male",0,40,0,0
"3910335",23,"Private","HSgrad","Married","White_Collar",5950.03,"Male",0,54,0,0
"3916990",23,"Government","Pre_HS","Married","Blue_Collar",55206.8,"Male",0,40,0,0
"3925858",66,"Private","HSgrad","Widowed","Service",169192.1,"Female",0,35,0,0
"3928183",42,"Government","Bachelor","Divorced","White_Collar",31457.77,"Male",0,45,0,0
"3933649",24,"Private","Bachelor","Absent","Service",112617.59,"Male",0,40,0,0
"3939014",46,"Private","College","Divorced","Service",144181.15,"Female",416.6666667,40,0,0
"3940771",67,"Private","HSgrad","Unmarried","Blue_Collar",79554.22,"Female",0,40,0,0
"3943580",28,"Government","College","Absent","White_Collar",44411.01,"Female",0,16,0,0
"3947669",48,"Government","Bachelor","Married","Professional",27311.61,"Male",0,40,15024,1
"3951796",42,"SelfEmp_Other","Bachelor","Married","White_Collar",216373,"Female",0,35,0,0
"3952457",48,"Private","HSgrad","Married","Blue_Collar",235077.88,"Female",0,40,0,0
"3956755",18,"Private","Pre_HS","Absent","Service",55889.47,"Male",0,8,0,0
"3958097",65,"Private","College","Widowed","Service",134361.82,"Female",0,45,0,0
"3959980",53,"Private","College","Married","White_Collar",30441.04,"Male",0,45,5319,1
"3964056",52,"Private","College","Married","Service",36457.74,"Male",0,40,431,1
"3967161",48,"Private","Bachelor","Absent","White_Collar",15481.2,"Male",0,40,0,0
"3968001",38,"Private","Bachelor","Married","Professional",41845.12,"Male",0,70,15024,1
"3968461",51,"SelfEmp_Other","College","Married","Other_Unknown",39195.94,"Male",0,50,3997,1
"3973347",20,"Private","HSgrad","Unmarried","Blue_Collar",176485.25,"Male",0,40,0,0
"3974938",57,"Private","HSgrad","Widowed","Service",164663.6,"Male",0,50,0,0
"3977867",26,"Private","College","Absent","White_Collar",92535.68,"Female",0,45,0,0
"3978887",44,"Private","College","Married","White_Collar",6133.38,"Male",0,40,0,0
"3980226",31,"Private","College","Unmarried","Blue_Collar",88116.45,"Male",0,40,0,0
"3980453",57,"Private","Pre_HS","Married","Service",42522.57,"Male",0,40,0,0
"3982518",24,"Government","HSgrad","Absent","White_Collar",106167.56,"Female",1316,40,0,0
"3986603",69,"Private","Pre_HS","Married","Blue_Collar",43192.7,"Male",1511.333333,40,0,0
"3986945",51,"Consultant","HSgrad","Married","Blue_Collar",40491.55,"Male",0,55,0,0
"3989269",27,"Private","Pre_HS","Married","Blue_Collar",43757.41,"Male",0,40,0,0
"3990972",28,"Private","Pre_HS","Married","Blue_Collar",239217.93,"Female",0,40,0,0
"3994144",61,"Private","Bachelor","Married","Service",50401.28,"Male",0,50,1689,1
"4002338",30,"Private","College","Married","Blue_Collar",15097.86,"Male",0,40,11395,1
"4007994",25,"Private","Bachelor","Absent","Service",244248.76,"Male",0,40,0,0
"4022245",59,"Government","College","Divorced","White_Collar",104006.41,"Female",0,40,0,0
"4024137",37,"Private","Pre_HS","Married","Service",60542.61,"Male",0,40,0,0
"4026717",26,"Private","HSgrad","Divorced","White_Collar",81147.27,"Female",0,40,0,0
"4030547",41,"Consultant","College","Unmarried","Blue_Collar",66294.52,"Male",0,40,0,0
"4031109",51,"Private","Bachelor","Absent","Service",41358.63,"Female",1564,43,3162,1
"4031521",27,"Private","Pre_HS","Divorced","Blue_Collar",172504.15,"Male",649.3333333,40,0,0
"4040042",37,"Private","College","Married","Blue_Collar",22745.9,"Male",0,35,0,0
"4040192",28,"Private","Pre_HS","Married","Blue_Collar",218597.45,"Male",0,40,0,0
"4045606",43,"Private","HSgrad","Absent","Professional",117813.86,"Male",0,40,0,0
"4046918",38,"Private","College","Divorced","White_Collar",66415.75,"Female",0,40,0,0
